"ordernumber","quantityordered","priceeach","sales","orderdate","productline","productcode","customername","totalrevenue"
10312,48,"100","8078.4","2004-10-21","Vintage Cars","S18_1749","Mini Gifts Distributors Ltd.","4800"
10331,44,"74.04","3257.76","2004-11-17","Vintage Cars","S18_1749","Motor Mint Distributors Inc.","3257.76"
10344,45,"100","7650","2004-11-25","Vintage Cars","S18_1749","Marseille Mini Autos","4500"
10212,20,"66.99","1339.8","2004-01-16","Classic Cars","S18_1889","Euro Shopping Channel","1339.8"
10225,47,"64.68","3039.96","2004-02-22","Classic Cars","S18_1889","Vida Sport, Ltd","3039.9600000000005"
10239,46,"73.92","3400.32","2004-04-12","Classic Cars","S18_1889","Oulu Toy Supplies, Inc.","3400.32"
10253,23,"83.93","1930.39","2004-06-01","Classic Cars","S18_1889","Uk Collectables, Ltd.","1930.39"
10266,33,"74.69","2464.77","2004-07-06","Classic Cars","S18_1889","L'Ordine Souveniers","2464.77"
10278,29,"90.86","2634.94","2004-08-06","Classic Cars","S18_1889","Signal Gift Stores","2634.94"
10287,44,"82.39","3625.16","2004-08-30","Classic Cars","S18_1889","Vida Sport, Ltd","3625.16"
10310,20,"91.63","1832.6","2004-10-16","Classic Cars","S18_1889","Toms Spezialitten, Ltd","1832.6"
10321,37,"78.54","2905.98","2004-11-04","Classic Cars","S18_1889","Fungiftideas.Com","2905.98"
10329,29,"100","2954.81","2004-11-15","Classic Cars","S18_1889","Land Of Toys Inc.","2900"
10342,55,"65.45","3599.75","2004-11-24","Classic Cars","S18_1889","Australian Collectors, Co.","3599.75"
10212,41,"100","4840.87","2004-01-16","Classic Cars","S18_1984","Euro Shopping Channel","4100"
10226,24,"100","3892.08","2004-02-26","Classic Cars","S18_1984","Collectable Mini Designs Co.","2400"
10240,37,"100","5526.32","2004-04-13","Classic Cars","S18_1984","Osaka Souveniers Co.","3700"
10253,33,"100","4459.62","2004-06-01","Classic Cars","S18_1984","Uk Collectables, Ltd.","3300"
10266,49,"100","6203.4","2004-07-06","Classic Cars","S18_1984","L'Ordine Souveniers","4900"
10278,29,"100","3754.05","2004-08-06","Classic Cars","S18_1984","Signal Gift Stores","2900"
10287,24,"100","3516.48","2004-08-30","Classic Cars","S18_1984","Vida Sport, Ltd","2400"
10310,24,"100","3448.08","2004-10-16","Classic Cars","S18_1984","Toms Spezialitten, Ltd","2400"
10321,25,"100","3734","2004-11-04","Classic Cars","S18_1984","Fungiftideas.Com","2500"
10331,30,"32.47","974.1","2004-11-17","Classic Cars","S18_1984","Motor Mint Distributors Inc.","974.0999999999999"
10342,22,"100","3160.74","2004-11-24","Classic Cars","S18_1984","Australian Collectors, Co.","2200"
10356,27,"64.69","1746.63","2004-12-09","Classic Cars","S18_1984","Lyon Souveniers","1746.6299999999999"
10219,43,"100","8448.64","2004-02-10","Classic Cars","S18_2238","Signal Collectibles Ltd.","4300"
10230,49,"100","7300.51","2004-03-15","Classic Cars","S18_2238","Blauer See Auto, Co.","4900"
10246,40,"100","6549.2","2004-05-05","Classic Cars","S18_2238","Euro Shopping Channel","4000"
10259,30,"100","5697.9","2004-06-15","Classic Cars","S18_2238","Handji Gifts& Co","3000"
10271,50,"100","9169","2004-07-20","Classic Cars","S18_2238","Mini Gifts Distributors Ltd.","5000"
10282,23,"100","3238.63","2004-08-20","Classic Cars","S18_2238","Mini Gifts Distributors Ltd.","2300"
10292,26,"100","4554.94","2004-09-08","Classic Cars","S18_2238","Land Of Toys Inc.","2600"
10305,27,"100","3934.44","2004-10-13","Classic Cars","S18_2238","Marta'S Replicas Co.","2700"
10314,42,"100","5776.26","2004-10-22","Classic Cars","S18_2238","Heintze Collectables","4200"
10324,47,"100","7207.45","2004-11-05","Classic Cars","S18_2238","Vitachrome Inc.","4700"
10336,49,"100","7460.74","2004-11-20","Classic Cars","S18_2238","La Corne D'Abondance, Co.","4900"
10349,38,"100","6719.54","2004-12-01","Classic Cars","S18_2238","Muscle Machine Inc","3800"
10358,20,"100","2428","2004-12-10","Classic Cars","S18_2238","Euro Shopping Channel","2000"
10214,21,"62.96","1322.16","2004-01-26","Vintage Cars","S18_2248","Corrida Auto Replicas, Ltd","1322.16"
10227,28,"50.85","1423.8","2004-03-02","Vintage Cars","S18_2248","Saveley & Henriot, Co.","1423.8"
10241,33,"72.65","2397.45","2004-04-13","Vintage Cars","S18_2248","Mini Caravy","2397.4500000000003"
10280,25,"62.96","1574","2004-08-17","Vintage Cars","S18_2248","Amica Models & Co.","1574"
10288,28,"61.75","1729","2004-09-01","Vintage Cars","S18_2248","Handji Gifts& Co","1729"
10303,46,"49.04","2255.84","2004-10-06","Vintage Cars","S18_2248","Iberia Gift Imports, Corp.","2255.84"
10312,30,"61.15","1834.5","2004-10-21","Vintage Cars","S18_2248","Mini Gifts Distributors Ltd.","1834.5"
10332,38,"84.25","3201.5","2004-11-17","Vintage Cars","S18_2248","Av Stores, Co.","3201.5"
10344,40,"56.91","2276.4","2004-11-25","Vintage Cars","S18_2248","Marseille Mini Autos","2276.3999999999996"
10229,26,"100","3765.32","2004-03-11","Trucks And Buses","S18_2319","Mini Gifts Distributors Ltd.","2600"
10246,22,"98.18","2159.96","2004-05-05","Trucks And Buses","S18_2319","Euro Shopping Channel","2159.96"
10259,34,"99.41","3379.94","2004-06-15","Trucks And Buses","S18_2319","Handji Gifts& Co","3379.94"
10271,50,"100","5093.5","2004-07-20","Trucks And Buses","S18_2319","Mini Gifts Distributors Ltd.","5000"
10281,48,"100","5773.44","2004-08-19","Trucks And Buses","S18_2319","Diecast Classics Inc.","4800"
10292,41,"100","4528.86","2004-09-08","Trucks And Buses","S18_2319","Land Of Toys Inc.","4100"
10305,36,"100","4816.08","2004-10-13","Trucks And Buses","S18_2319","Marta'S Replicas Co.","3600"
10313,29,"100","3416.78","2004-10-22","Trucks And Buses","S18_2319","Canadian Gift Exchange Network","2900"
10324,33,"37.48","1236.84","2004-11-05","Trucks And Buses","S18_2319","Vitachrome Inc.","1236.84"
10334,46,"100","5814.86","2004-11-19","Trucks And Buses","S18_2319","Volvo Model Replicas, Co","4600"
10349,38,"100","5223.48","2004-12-01","Trucks And Buses","S18_2319","Muscle Machine Inc","3800"
10358,20,"36.42","728.4","2004-12-10","Trucks And Buses","S18_2319","Euro Shopping Channel","728.4000000000001"
10214,27,"100","3604.23","2004-01-26","Vintage Cars","S18_2325","Corrida Auto Replicas, Ltd","2700"
10227,46,"100","7017.76","2004-03-02","Vintage Cars","S18_2325","Saveley & Henriot, Co.","4600"
10243,47,"100","6154.18","2004-04-26","Vintage Cars","S18_2325","Diecast Collectables","4700"
10280,37,"100","4750.8","2004-08-17","Vintage Cars","S18_2325","Amica Models & Co.","3700"
10288,31,"100","3822.92","2004-09-01","Vintage Cars","S18_2325","Handji Gifts& Co","3100"
10304,24,"100","2440.8","2004-10-11","Vintage Cars","S18_2325","Auto Assoc. & Cie.","2400"
10312,31,"100","4729.36","2004-10-21","Vintage Cars","S18_2325","Mini Gifts Distributors Ltd.","3100"
10322,50,"100","12536.5","2004-11-04","Vintage Cars","S18_2325","Online Diecast Creations Co.","5000"
10332,35,"64.69","2264.15","2004-11-17","Vintage Cars","S18_2325","Av Stores, Co.","2264.15"
10344,30,"100","3928.2","2004-11-25","Vintage Cars","S18_2325","Marseille Mini Autos","3000"
10356,29,"100","3630.22","2004-12-09","Vintage Cars","S18_2325","Lyon Souveniers","2900"
10217,35,"61.38","2148.3","2004-02-04","Trucks And Buses","S18_2432","Handji Gifts& Co","2148.3"
10229,28,"59.55","1667.4","2004-03-11","Trucks And Buses","S18_2432","Mini Gifts Distributors Ltd.","1667.3999999999999"
10246,30,"61.99","1859.7","2004-05-05","Trucks And Buses","S18_2432","Euro Shopping Channel","1859.7"
10259,30,"49.22","1476.6","2004-06-15","Trucks And Buses","S18_2432","Handji Gifts& Co","1476.6"
10271,25,"69.28","1732","2004-07-20","Trucks And Buses","S18_2432","Mini Gifts Distributors Ltd.","1732"
10281,29,"57.73","1674.17","2004-08-19","Trucks And Buses","S18_2432","Diecast Classics Inc.","1674.1699999999998"
10291,26,"57.73","1500.98","2004-09-08","Trucks And Buses","S18_2432","Scandinavian Gift Ideas","1500.98"
10305,41,"53.48","2192.68","2004-10-13","Trucks And Buses","S18_2432","Marta'S Replicas Co.","2192.68"
10313,34,"52.87","1797.58","2004-10-22","Trucks And Buses","S18_2432","Canadian Gift Exchange Network","1797.58"
10322,35,"61.21","2142.35","2004-11-04","Trucks And Buses","S18_2432","Online Diecast Creations Co.","2142.35"
10334,34,"61.38","2086.92","2004-11-19","Trucks And Buses","S18_2432","Volvo Model Replicas, Co","2086.92"
10347,50,"100","6834.5","2004-11-29","Trucks And Buses","S18_2432","Australian Collectors, Co.","5000"
10357,41,"61.99","2541.59","2004-12-10","Trucks And Buses","S18_2432","Mini Gifts Distributors Ltd.","2541.59"
10210,50,"76.88","3844","2004-01-12","Planes","S18_2581","Osaka Souveniers Co.","3844"
10223,47,"100","4724.91","2004-02-20","Planes","S18_2581","Australian Collectors, Co.","4700"
10235,24,"76.03","1824.72","2004-04-02","Planes","S18_2581","Royal Canadian Collectables, Ltd.","1824.72"
10250,27,"98.84","2668.68","2004-05-11","Planes","S18_2581","The Sharp Gifts Warehouse","2668.6800000000003"
10263,33,"86.17","2843.61","2004-06-28","Planes","S18_2581","Gift Depot Inc.","2843.61"
10275,35,"90.39","3163.65","2004-07-23","Planes","S18_2581","La Rochelle Gifts","3163.65"
10284,31,"71.81","2226.11","2004-08-21","Planes","S18_2581","Norway Gifts By Mail, Co.","2226.11"
10297,25,"82.79","2069.75","2004-09-16","Planes","S18_2581","Clover Collections, Co.","2069.75"
10308,27,"82.79","2235.33","2004-10-15","Planes","S18_2581","Mini Classics","2235.3300000000004"
10318,31,"100","3116.43","2004-11-02","Planes","S18_2581","Diecast Classics Inc.","3100"
10327,45,"100","4781.7","2004-11-10","Planes","S18_2581","Danish Wholesale Imports","4500"
10339,27,"100","2810.7","2004-11-23","Planes","S18_2581","Tokyo Collectables, Ltd","2700"
10353,27,"100","3515.67","2004-12-04","Planes","S18_2581","Gift Ideas Corp.","2700"
10210,40,"49.67","1986.8","2004-01-12","Motorcycles","S18_2625","Osaka Souveniers Co.","1986.8000000000002"
10223,28,"60.57","1695.96","2004-02-20","Motorcycles","S18_2625","Australian Collectors, Co.","1695.96"
10236,23,"55.72","1281.56","2004-04-03","Motorcycles","S18_2625","Motor Mint Distributors Inc.","1281.56"
10251,29,"61.18","1774.22","2004-05-18","Motorcycles","S18_2625","Tekni Collectables Inc.","1774.22"
10263,34,"58.75","1997.5","2004-06-28","Motorcycles","S18_2625","Gift Depot Inc.","1997.5"
10275,37,"63.6","2353.2","2004-07-23","Motorcycles","S18_2625","La Rochelle Gifts","2353.2000000000003"
10285,20,"49.06","981.2","2004-08-27","Motorcycles","S18_2625","Marta'S Replicas Co.","981.2"
10298,32,"48.46","1550.72","2004-09-27","Motorcycles","S18_2625","Atelier Graphique","1550.72"
10308,34,"52.09","1771.06","2004-10-15","Motorcycles","S18_2625","Mini Classics","1771.0600000000002"
10318,42,"52.7","2213.4","2004-11-02","Motorcycles","S18_2625","Diecast Classics Inc.","2213.4"
10329,38,"100","5266.04","2004-11-15","Motorcycles","S18_2625","Land Of Toys Inc.","3800"
10339,30,"62.16","1864.8","2004-11-23","Motorcycles","S18_2625","Tokyo Collectables, Ltd","1864.8"
10214,50,"100","9534.5","2004-01-26","Vintage Cars","S18_2795","Corrida Auto Replicas, Ltd","5000"
10227,29,"100","5579.02","2004-03-02","Vintage Cars","S18_2795","Saveley & Henriot, Co.","2900"
10244,43,"100","5950.34","2004-04-29","Vintage Cars","S18_2795","Euro Shopping Channel","4300"
10255,24,"100","3726","2004-06-04","Vintage Cars","S18_2795","Mini Caravy","2400"
10280,22,"100","4455","2004-08-17","Vintage Cars","S18_2795","Amica Models & Co.","2200"
10289,43,"100","8272.34","2004-09-03","Vintage Cars","S18_2795","Herkku Gifts","4300"
10304,20,"100","3577.6","2004-10-11","Vintage Cars","S18_2795","Auto Assoc. & Cie.","2000"
10312,25,"100","3881.25","2004-10-21","Vintage Cars","S18_2795","Mini Gifts Distributors Ltd.","2500"
10322,36,"100","5797.44","2004-11-04","Vintage Cars","S18_2795","Online Diecast Creations Co.","3600"
10332,24,"52.67","1264.08","2004-11-17","Vintage Cars","S18_2795","Av Stores, Co.","1264.08"
10347,21,"100","4815.3","2004-11-29","Vintage Cars","S18_2795","Australian Collectors, Co.","2100"
10356,30,"100","4462.2","2004-12-09","Vintage Cars","S18_2795","Lyon Souveniers","3000"
10212,40,"100","4910.4","2004-01-16","Classic Cars","S18_2870","Euro Shopping Channel","4000"
10226,24,"100","3231.36","2004-02-26","Classic Cars","S18_2870","Collectable Mini Designs Co.","2400"
10241,44,"100","6853.44","2004-04-13","Classic Cars","S18_2870","Mini Caravy","4400"
10253,37,"100","5177.04","2004-06-01","Classic Cars","S18_2870","Uk Collectables, Ltd.","3700"
10266,20,"100","2824.8","2004-07-06","Classic Cars","S18_2870","L'Ordine Souveniers","2000"
10278,39,"100","4324.32","2004-08-06","Classic Cars","S18_2870","Signal Gift Stores","3900"
10287,44,"100","5052.96","2004-08-30","Classic Cars","S18_2870","Vida Sport, Ltd","4400"
10311,43,"100","5278.68","2004-10-16","Classic Cars","S18_2870","Euro Shopping Channel","4300"
10321,27,"100","2851.2","2004-11-04","Classic Cars","S18_2870","Fungiftideas.Com","2700"
10331,26,"64.9","1687.4","2004-11-17","Classic Cars","S18_2870","Motor Mint Distributors Inc.","1687.4"
10343,25,"52.32","1308","2004-11-24","Classic Cars","S18_2870","Reims Collectables","1308"
10215,49,"100","5510.05","2004-01-29","Vintage Cars","S18_2949","West Coast Collectables Co.","4900"
10228,24,"100","2504.4","2004-03-10","Vintage Cars","S18_2949","Cambridge Collectables Co.","2400"
10244,30,"100","3525.6","2004-04-29","Vintage Cars","S18_2949","Euro Shopping Channel","3000"
10257,50,"88.14","4407","2004-06-14","Vintage Cars","S18_2949","The Sharp Gifts Warehouse","4407"
10270,31,"96.24","2983.44","2004-07-19","Vintage Cars","S18_2949","Souveniers And Things Co.","2983.44"
10280,46,"100","5126.24","2004-08-17","Vintage Cars","S18_2949","Amica Models & Co.","4600"
10291,47,"100","5713.79","2004-09-08","Vintage Cars","S18_2949","Scandinavian Gift Ideas","4700"
10304,46,"100","4613.8","2004-10-11","Vintage Cars","S18_2949","Auto Assoc. & Cie.","4600"
10312,37,"100","3711.1","2004-10-21","Vintage Cars","S18_2949","Mini Gifts Distributors Ltd.","3700"
10322,33,"100","3524.73","2004-11-04","Vintage Cars","S18_2949","Online Diecast Creations Co.","3300"
10333,31,"90.17","2795.27","2004-11-18","Vintage Cars","S18_2949","Mini Wheels Co.","2795.27"
10347,48,"100","4814.4","2004-11-29","Vintage Cars","S18_2949","Australian Collectors, Co.","4800"
10357,41,"87.13","3572.33","2004-12-10","Vintage Cars","S18_2949","Mini Gifts Distributors Ltd.","3572.33"
10215,31,"58.71","1820.01","2004-01-29","Vintage Cars","S18_2957","West Coast Collectables Co.","1820.01"
10228,45,"63.71","2866.95","2004-03-10","Vintage Cars","S18_2957","Cambridge Collectables Co.","2866.95"
10244,24,"58.09","1394.16","2004-04-29","Vintage Cars","S18_2957","Euro Shopping Channel","1394.16"
10257,49,"53.72","2632.28","2004-06-14","Vintage Cars","S18_2957","The Sharp Gifts Warehouse","2632.2799999999997"
10269,32,"63.08","2018.56","2004-07-16","Vintage Cars","S18_2957","Salzburg Collectables","2018.56"
10280,43,"68.71","2954.53","2004-08-17","Vintage Cars","S18_2957","Amica Models & Co.","2954.5299999999997"
10291,37,"50.59","1871.83","2004-09-08","Vintage Cars","S18_2957","Scandinavian Gift Ideas","1871.8300000000002"
10304,24,"64.96","1559.04","2004-10-11","Vintage Cars","S18_2957","Auto Assoc. & Cie.","1559.04"
10312,35,"53.72","1880.2","2004-10-21","Vintage Cars","S18_2957","Mini Gifts Distributors Ltd.","1880.2"
10322,41,"29.87","1224.67","2004-11-04","Vintage Cars","S18_2957","Online Diecast Creations Co.","1224.67"
10332,26,"100","2979.08","2004-11-17","Vintage Cars","S18_2957","Av Stores, Co.","2600"
10347,34,"64.96","2208.64","2004-11-29","Vintage Cars","S18_2957","Australian Collectors, Co.","2208.64"
10357,49,"70.58","3458.42","2004-12-10","Vintage Cars","S18_2957","Mini Gifts Distributors Ltd.","3458.42"
10209,28,"100","2817.92","2004-01-09","Ships","S18_3029","Men 'R' Us Retailers, Ltd.","2800"
10222,49,"94.62","4636.38","2004-02-19","Ships","S18_3029","Collectable Mini Designs Co.","4636.38"
10248,21,"73.98","1553.58","2004-05-07","Ships","S18_3029","Land Of Toys Inc.","1553.5800000000002"
10262,32,"84.3","2697.6","2004-06-24","Ships","S18_3029","Euro Shopping Channel","2697.6"
10273,34,"98.06","3334.04","2004-07-21","Ships","S18_3029","Petit Auto","3334.04"
10283,21,"98.06","2059.26","2004-08-20","Ships","S18_3029","Royal Canadian Collectables, Ltd.","2059.26"
10296,21,"96.34","2023.14","2004-09-15","Ships","S18_3029","Bavarian Collectables Imports, Co.","2023.14"
10307,31,"83.44","2586.64","2004-10-14","Ships","S18_3029","Classic Gift Ideas, Inc","2586.64"
10316,21,"94.62","1987.02","2004-11-01","Ships","S18_3029","Giftsbymail.Co.Uk","1987.02"
10327,25,"45.86","1146.5","2004-11-10","Ships","S18_3029","Danish Wholesale Imports","1146.5"
10338,28,"82.58","2312.24","2004-11-22","Ships","S18_3029","Royale Belge","2312.24"
10350,43,"64.97","2793.71","2004-12-02","Ships","S18_3029","Euro Shopping Channel","2793.71"
10215,49,"100","5285.14","2004-01-29","Vintage Cars","S18_3136","West Coast Collectables Co.","4900"
10228,31,"100","3181.53","2004-03-10","Vintage Cars","S18_3136","Cambridge Collectables Co.","3100"
10244,29,"100","3340.51","2004-04-29","Vintage Cars","S18_3136","Euro Shopping Channel","2900"
10257,37,"84.82","3138.34","2004-06-14","Vintage Cars","S18_3136","The Sharp Gifts Warehouse","3138.3399999999997"
10270,38,"100","4775.08","2004-07-19","Vintage Cars","S18_3136","Souveniers And Things Co.","3800"
10280,29,"100","3006.43","2004-08-17","Vintage Cars","S18_3136","Amica Models & Co.","2900"
10291,23,"100","2866.26","2004-09-08","Vintage Cars","S18_3136","Scandinavian Gift Ideas","2300"
10304,26,"85.87","2232.62","2004-10-11","Vintage Cars","S18_3136","Auto Assoc. & Cie.","2232.62"
10312,38,"100","4457.02","2004-10-21","Vintage Cars","S18_3136","Mini Gifts Distributors Ltd.","3800"
10322,48,"47.04","2257.92","2004-11-04","Vintage Cars","S18_3136","Online Diecast Creations Co.","2257.92"
10332,40,"39.8","1592","2004-11-17","Vintage Cars","S18_3136","Av Stores, Co.","1592"
10347,45,"100","4948.2","2004-11-29","Vintage Cars","S18_3136","Australian Collectors, Co.","4500"
10357,44,"100","5160.76","2004-12-10","Vintage Cars","S18_3136","Mini Gifts Distributors Ltd.","4400"
10208,24,"100","2622.48","2004-01-02","Vintage Cars","S18_3140","Saveley & Henriot, Co.","2400"
10221,33,"100","4417.38","2004-02-18","Vintage Cars","S18_3140","Petit Auto","3300"
10232,22,"100","3606.02","2004-03-20","Vintage Cars","S18_3140","Giftsbymail.Co.Uk","2200"
10248,32,"100","3802.56","2004-05-07","Vintage Cars","S18_3140","Land Of Toys Inc.","3200"
10273,40,"100","5026.4","2004-07-21","Vintage Cars","S18_3140","Petit Auto","4000"
10282,43,"100","6695.53","2004-08-20","Vintage Cars","S18_3140","Mini Gifts Distributors Ltd.","4300"
10293,24,"100","2819.28","2004-09-09","Vintage Cars","S18_3140","Amica Models & Co.","2400"
10306,32,"100","3759.04","2004-10-14","Vintage Cars","S18_3140","Av Stores, Co.","3200"
10314,20,"100","2731.8","2004-10-22","Vintage Cars","S18_3140","Heintze Collectables","2000"
10325,24,"69.12","1658.88","2004-11-05","Vintage Cars","S18_3140","Baane Mini Imports","1658.88"
10336,48,"100","5778.24","2004-11-20","Vintage Cars","S18_3140","La Corne D'Abondance, Co.","4800"
10350,44,"100","5191.12","2004-12-02","Vintage Cars","S18_3140","Euro Shopping Channel","4400"
10212,40,"100","5554.4","2004-01-16","Classic Cars","S18_3232","Euro Shopping Channel","4000"
10225,43,"100","6407.86","2004-02-22","Classic Cars","S18_3232","Vida Sport, Ltd","4300"
10229,22,"100","4172.52","2004-03-11","Classic Cars","S18_3232","Mini Gifts Distributors Ltd.","2200"
10239,47,"100","7083.37","2004-04-12","Classic Cars","S18_3232","Oulu Toy Supplies, Inc.","4700"
10246,36,"100","7132.68","2004-05-05","Classic Cars","S18_3232","Euro Shopping Channel","3600"
10253,40,"100","6773.6","2004-06-01","Classic Cars","S18_3232","Uk Collectables, Ltd.","4000"
10259,27,"100","3657.69","2004-06-15","Classic Cars","S18_3232","Handji Gifts& Co","2700"
10266,29,"100","4812.55","2004-07-06","Classic Cars","S18_3232","L'Ordine Souveniers","2900"
10271,20,"100","3928.6","2004-07-20","Classic Cars","S18_3232","Mini Gifts Distributors Ltd.","2000"
10278,42,"100","6401.22","2004-08-06","Classic Cars","S18_3232","Signal Gift Stores","4200"
10281,25,"100","4191.25","2004-08-19","Classic Cars","S18_3232","Diecast Classics Inc.","2500"
10287,36,"100","5852.52","2004-08-30","Classic Cars","S18_3232","Vida Sport, Ltd","3600"
10292,21,"100","2844.87","2004-09-08","Classic Cars","S18_3232","Land Of Toys Inc.","2100"
10305,37,"100","7455.87","2004-10-13","Classic Cars","S18_3232","Marta'S Replicas Co.","3700"
10310,48,"100","8940.96","2004-10-16","Classic Cars","S18_3232","Toms Spezialitten, Ltd","4800"
10313,25,"100","4572.25","2004-10-22","Classic Cars","S18_3232","Canadian Gift Exchange Network","2500"
10321,33,"100","5700.09","2004-11-04","Classic Cars","S18_3232","Fungiftideas.Com","3300"
10324,27,"100","3155.49","2004-11-05","Classic Cars","S18_3232","Vitachrome Inc.","2700"
10331,27,"100","4170.69","2004-11-17","Classic Cars","S18_3232","Motor Mint Distributors Inc.","2700"
10334,20,"100","2878.8","2004-11-19","Classic Cars","S18_3232","Volvo Model Replicas, Co","2000"
10342,30,"100","5029.5","2004-11-24","Classic Cars","S18_3232","Australian Collectors, Co.","3000"
10349,48,"100","7396.8","2004-12-01","Classic Cars","S18_3232","Muscle Machine Inc","4800"
10358,32,"93.49","2991.68","2004-12-10","Classic Cars","S18_3232","Euro Shopping Channel","2991.68"
10208,48,"100","5614.56","2004-01-02","Trains","S18_3259","Saveley & Henriot, Co.","4800"
10221,23,"80.67","1855.41","2004-02-18","Trains","S18_3259","Petit Auto","1855.41"
10232,48,"95.8","4598.4","2004-03-20","Trains","S18_3259","Giftsbymail.Co.Uk","4598.4"
10248,42,"100","5082.42","2004-05-07","Trains","S18_3259","Land Of Toys Inc.","4200"
10273,47,"100","5450.59","2004-07-21","Trains","S18_3259","Petit Auto","4700"
10282,36,"100","4174.92","2004-08-20","Trains","S18_3259","Mini Gifts Distributors Ltd.","3600"
10293,22,"100","2418.24","2004-09-09","Trains","S18_3259","Amica Models & Co.","2200"
10306,40,"91.76","3670.4","2004-10-14","Trains","S18_3259","Av Stores, Co.","3670.4"
10314,23,"100","2481.7","2004-10-22","Trains","S18_3259","Heintze Collectables","2300"
10326,32,"100","3807.68","2004-11-09","Trains","S18_3259","Volvo Model Replicas, Co","3200"
10336,21,"100","2230.41","2004-11-20","Trains","S18_3259","La Corne D'Abondance, Co.","2100"
10350,41,"93.04","3814.64","2004-12-02","Trains","S18_3259","Euro Shopping Channel","3814.6400000000003"
10211,35,"78","2730","2004-01-15","Classic Cars","S18_3278","Auto Canal Petit","2730"
10225,37,"95.69","3540.53","2004-02-22","Classic Cars","S18_3278","Vida Sport, Ltd","3540.5299999999997"
10238,41,"73.17","2999.97","2004-04-09","Classic Cars","S18_3278","Danish Wholesale Imports","2999.9700000000003"
10252,20,"76.39","1527.8","2004-05-26","Classic Cars","S18_3278","Auto Canal Petit","1527.8"
10265,45,"86.84","3907.8","2004-07-02","Classic Cars","S18_3278","Australian Collectables, Ltd","3907.8"
10276,38,"69.96","2658.48","2004-08-02","Classic Cars","S18_3278","Online Mini Collectables","2658.4799999999996"
10287,43,"70.76","3042.68","2004-08-30","Classic Cars","S18_3278","Vida Sport, Ltd","3042.6800000000003"
10310,27,"80.41","2171.07","2004-10-16","Classic Cars","S18_3278","Toms Spezialitten, Ltd","2171.0699999999997"
10319,46,"73.98","3403.08","2004-11-03","Classic Cars","S18_3278","Microscale Inc.","3403.0800000000004"
10329,38,"59.1","2245.8","2004-11-15","Classic Cars","S18_3278","Land Of Toys Inc.","2245.8"
10342,25,"66.74","1668.5","2004-11-24","Classic Cars","S18_3278","Australian Collectors, Co.","1668.4999999999998"
10215,41,"100","4555.92","2004-01-29","Vintage Cars","S18_3320","West Coast Collectables Co.","4100"
10227,33,"100","3666.96","2004-03-02","Vintage Cars","S18_3320","Saveley & Henriot, Co.","3300"
10244,36,"84.33","3035.88","2004-04-29","Vintage Cars","S18_3320","Euro Shopping Channel","3035.88"
10257,26,"89.29","2321.54","2004-06-14","Vintage Cars","S18_3320","The Sharp Gifts Warehouse","2321.54"
10280,34,"100","3474.46","2004-08-17","Vintage Cars","S18_3320","Amica Models & Co.","3400"
10290,26,"96.23","2501.98","2004-09-07","Vintage Cars","S18_3320","Auto-Moto Classics Inc.","2501.98"
10304,38,"100","3958.46","2004-10-11","Vintage Cars","S18_3320","Auto Assoc. & Cie.","3800"
10312,33,"100","3535.95","2004-10-21","Vintage Cars","S18_3320","Mini Gifts Distributors Ltd.","3300"
10323,33,"91.27","3011.91","2004-11-05","Vintage Cars","S18_3320","Blauer See Auto, Co.","3011.91"
10333,46,"100","11336.7","2004-11-18","Vintage Cars","S18_3320","Mini Wheels Co.","4600"
10347,26,"100","2656.94","2004-11-29","Vintage Cars","S18_3320","Australian Collectors, Co.","2600"
10357,25,"100","2604.25","2004-12-10","Vintage Cars","S18_3320","Mini Gifts Distributors Ltd.","2500"
10211,28,"100","3745.28","2004-01-15","Classic Cars","S18_3482","Auto Canal Petit","2800"
10225,27,"100","4564.08","2004-02-22","Classic Cars","S18_3482","Vida Sport, Ltd","2700"
10238,49,"100","6554.24","2004-04-09","Classic Cars","S18_3482","Danish Wholesale Imports","4900"
10252,41,"100","6749.83","2004-05-26","Classic Cars","S18_3482","Auto Canal Petit","4100"
10265,49,"100","8427.02","2004-07-02","Classic Cars","S18_3482","Australian Collectables, Ltd","4900"
10276,30,"100","3924.6","2004-08-02","Classic Cars","S18_3482","Online Mini Collectables","3000"
10287,40,"100","6761.6","2004-08-30","Classic Cars","S18_3482","Vida Sport, Ltd","4000"
10310,49,"100","6266.12","2004-10-16","Classic Cars","S18_3482","Toms Spezialitten, Ltd","4900"
10320,25,"100","3491","2004-11-03","Classic Cars","S18_3482","Volvo Model Replicas, Co","2500"
10330,37,"100","4405.22","2004-11-16","Classic Cars","S18_3482","Cruz & Sons Co.","3700"
10342,55,"100","6548.3","2004-11-24","Classic Cars","S18_3482","Australian Collectors, Co.","5500"
10355,23,"100","3177.91","2004-12-07","Classic Cars","S18_3482","Euro Shopping Channel","2300"
10212,45,"100","6357.6","2004-01-16","Classic Cars","S18_3685","Euro Shopping Channel","4500"
10226,46,"100","7343.9","2004-02-26","Classic Cars","S18_3685","Collectable Mini Designs Co.","4600"
10240,37,"100","5959.22","2004-04-13","Classic Cars","S18_3685","Osaka Souveniers Co.","3700"
10253,31,"100","4029.38","2004-06-01","Classic Cars","S18_3685","Uk Collectables, Ltd.","3100"
10266,33,"100","5035.14","2004-07-06","Classic Cars","S18_3685","L'Ordine Souveniers","3300"
